Id,SalePrice
1461,125439.88139020615
1462,152739.49139392763
1463,182769.9026122564
1464,189052.93260446272
1465,195076.0483986857
1466,183774.25950333866
1467,170690.69633380798
1468,176683.04208406337
1469,178572.05265448792
1470,127746.88732620036
1471,199761.5310893805
1472,100833.7319436192
1473,105488.9771835679
1474,153757.9024957095
1475,126060.15581281026
1476,338582.8869903012
1477,248154.64749253428
1478,300181.41078940826
1479,298069.7755428454
1480,387523.2863747089
1481,304428.3903688842
1482,207399.8010778261
1483,188142.25467744164
1484,180465.08371687244
1485,179141.85838714844
1486,200512.0095213497
1487,296115.2770824775
1488,238735.32620560398
1489,200699.9860844994
1490,216297.49615559095
1491,197409.9193369394
1492,103592.02745902291
1493,179111.01895182292
1494,287876.9817861162
1495,279259.39773918176
1496,228345.16026929652
1497,185288.31117172504
1498,162474.9539776129
1499,159377.7353489276
1500,161452.5702491864
1501,170202.35411797382
1502,167629.1751455818
1503,257098.90703879108
1504,218513.5543652066
1505,217703.21121239365
1506,180015.9602545736
1507,234802.10247598033
1508,189084.29204896127
1509,159023.46337355443
1510,149428.8284453268
1511,147659.94186846187
1512,171938.69165480637
1513,149489.2296699772
1514,147582.53601947508
1515,182962.84107547379
1516,154684.73861046406
1517,149409.17491095464
1518,143723.6027960178
1519,221023.44339396845
1520,138609.65701207548
1521,140989.657431398
1522,161808.87843146516
1523,121651.57378041303
1524,120254.46041327566
1525,126506.15508577657
1526,125200.32667460456
1527,112643.4877961466
1528,125674.70040322037
1529,140911.91083048555
1530,164724.17679349493
1531,133803.4748108503
1532,105266.20905233701
1533,141306.99674009896
1534,119862.32832149908
1535,149660.37192134385
1536,120923.399206142
1537,100814.26386186053
1538,145354.7689453427
1539,179932.09876497087
1540,122231.50433707466
1541,139767.7880223888
1542,138118.0031814518
1543,168997.20061922818
1544,90676.93591142964
1545,103472.71022248776
1546,121439.42877552674
1547,134576.080276885
1548,125608.65690635185
1549,112352.57369232547
1550,139574.90332277646
1551,121974.07159096164
1552,142088.8775468289
1553,132231.27855126286
1554,113486.03785958538
1555,165338.88928538744
1556,101301.12828224267
1557,118876.89675077776
1558,104844.8750252626
1559,116062.9278725006
1560,139561.6441113503
1561,146942.25803667444
1562,127551.47148146438
1563,123992.98974880988
1564,160402.48520899122
1565,154264.89323989753
1566,206252.20245298874
1567,97425.28202944812
1568,212139.85903519942
1569,153363.0463112772
1570,139338.789989756
1571,127865.43638008478
1572,142282.10738659822
1573,223985.85092138193
1574,137876.2544928534
1575,201966.3074873244
1576,225315.98421734147
1577,194681.84583847993
1578,147165.33460681702
1579,143651.84598199438
1580,190228.89102439015
1581,137401.11835002745
1582,127149.19852236052
1583,312932.94540806476
1584,233553.37696848312
1585,147686.63323907673
1586,92324.94349795803
1587,112562.83818309236
1588,141797.13922038305
1589,109905.26717667107
1590,134886.65501104173
1591,104276.90101263882
1592,132333.98835716824
1593,119026.5073379411
1594,125016.62808567006
1595,127353.59371499284
1596,198575.22370919934
1597,166984.37192676938
1598,181414.9477050178
1599,163037.93701263593
1600,177920.79273240597
1601,86995.60389043104
1602,114985.05723911859
1603,101250.10801252608
1604,263293.47403668653
1605,237311.54150509974
1606,163972.2481550248
1607,163427.5816452138
1608,215266.3802088777
1609,192185.31808988922
1610,162535.26947935345
1611,146724.5938696761
1612,190252.61860548187
1613,178219.2377562546
1614,120645.50076661613
1615,94527.93692094451
1616,91672.41965764185
1617,98111.82792152921
1618,123794.12149979327
1619,135305.30612664286
1620,182474.0755214072
1621,141165.5836640766
1622,144484.41774560383
1623,251604.47284289042
1624,214547.67486643698
1625,127207.71664123084
1626,168183.402674999
1627,185863.12048205477
1628,259769.49694985556
1629,172828.66682129126
1630,291942.1948104128
1631,196382.0949755699
1632,229133.76278425145
1633,169247.25827933842
1634,185311.20647610255
1635,181103.77803915794
1636,170114.58394485284
1637,184369.50752234555
1638,196042.37720326593
1639,182027.03004733165
1640,230201.05714556045
1641,175794.89589765723
1642,219707.57318046963
1643,219137.8724466346
1644,216188.77503822232
1645,186977.05217766625
1646,156677.06001132936
1647,163862.2993429442
1648,140935.48949245855
1649,137976.5449019472
1650,123978.10785721835
1651,123336.8088263943
1652,101136.29932323103
1653,101030.05897358604
1654,156271.97339778586
1655,148056.04460932885
1656,151127.98515968045
1657,155296.6572711636
1658,156650.75716407396
1659,127951.39024425812
1660,153549.6817164988
1661,384942.88644845475
1662,325398.18924299144
1663,362967.5526999896
1664,387872.9959484416
1665,311503.03069296165
1666,315063.98431410827
1667,322294.91243777727
1668,331424.2307727638
1669,279805.1532798375
1670,328359.33191077114
1671,264805.3085746712
1672,374114.7194040499
1673,289105.2171315173
1674,248334.1725049
1675,196600.12666330175
1676,195598.9553549984
1677,206098.89541623052
1678,375039.0466212153
